"Year","Region","NEP Name","Project Name","Habitat Type","Activity","Restoration Technique","Acres"
"2006","Region 10","Tillamook Estuaries Partnership","East Humbug Culvert 5","In-Stream","Reestablishment","Culvert Modification (including installation and replacement)","0"
"2006","Region 10","Tillamook Estuaries Partnership","Roos 1 Riparian Planting","Riparian","Reestablishment","Planting","3.9"
"2006","Region 10","Tillamook Estuaries Partnership","Cedar Creek Culvert 2","In-Stream","Reestablishment","Culvert Modification (including installation and replacement)","0"
"2006","Region 10","Tillamook Estuaries Partnership","Miller Timber Sale - Road Decommissioning","Forest/Woodland","Rehabilitation","Culvert Removal","0"
"2006","Region 10","Tillamook Estuaries Partnership","BYPP - Larson","Riparian","Reestablishment","Planting","2.3"
"2010","Region 10","Tillamook Estuaries Partnership","Cougar Valley - Planting","Riparian","Reestablishment","Planting","15.75"
"2010","Region 10","Tillamook Estuaries Partnership","Miami Wetlands Restoration","Tidal Wetland","Reestablishment","Ditch Removal, Filling, or Plugging","44"
"2009","Region 10","Puget Sound Partnership","Livingston Bay Nearshore Acquisition & Restoration","Tidal Wetland","-","Land Acquisition","43"
"2018","Region 10","Puget Sound Partnership","Whatcom County Fish Passage 2 (EQIP)","In-Stream","Reestablishment","Fish Barrier Removal","0"
"2018","Region 10","Puget Sound Partnership","Thurston County Fish Passage (EQIP)","In-Stream","Reestablishment","Fish Barrier Removal","0"
"2018","Region 10","Puget Sound Partnership","Island County Planting (EQIP)","Agriculture/Ranch Land","Enhancement","Planting","2"
"2018","Region 10","Puget Sound Partnership","Mason County Planting (EQIP)","Agriculture/Ranch Land","Enhancement","Planting",".2"
"2018","Region 10","Puget Sound Partnership","Kitsap County Planting (WHIP)","Agriculture/Ranch Land","Enhancement","Planting","2"
"2018","Region 10","Puget Sound Partnership","Clallam County Planting (EQIP)","Forest/Woodland","Reestablishment","Planting","24.2"
"2018","Region 10","Puget Sound Partnership","Whatcom County Fish Passage (EQIP)","In-Stream","Reestablishment","Fish Barrier Removal","0"
"2018","Region 10","Puget Sound Partnership","Kitsap Shoreline Armor Removal","Estuarine Shoreline","Rehabilitation","Bulkhead Removal",".1"
"2018","Region 10","Puget Sound Partnership","Donovan and Rice Creek Culvert Removal","In-Stream","Reestablishment","Culvert Removal","-"
"2018","Region 10","Puget Sound Partnership","Trillium Community Forest Acquisition","Forest/Woodland","Protection","Land Acquisition","32.5"
"2018","Region 10","Puget Sound Partnership","Lower White River Countyline Levee Setback","Riparian","Reestablishment","Levee Breaching","18"
"2018","Region 10","Puget Sound Partnership","Jansen Creek Culvert Replacement","In-Stream","Reestablishment","Culvert Modification (including installation and replacement)","-"
"2018","Region 10","Puget Sound Partnership","Thayer Creek Culvert Replacement","In-Stream","Reestablishment","Culvert Modification (including installation and replacement)","-"
"2018","Region 10","Puget Sound Partnership","West Dabob Bay Restoration","Riparian","Reestablishment","Planting","6"
"2018","Region 10","Puget Sound Partnership","Porter Levee Setback - Construction","Riparian","Reestablishment","Berm/Dike Removal","10"
"2018","Region 10","Puget Sound Partnership","High Creek Culvert Removal","In-Stream","Reestablishment","Culvert Removal","-"
"2018","Region 10","Puget Sound Partnership","Titlow Armor Removal and Shoreline Restoration","Estuarine Shoreline","Rehabilitation","Bulkhead Removal",".4"
"2018","Region 10","Puget Sound Partnership","Tumwater Creek Bridge Installation","In-Stream","Reestablishment","Culvert Removal","-"
"2018","Region 10","Puget Sound Partnership","Filucy Bay Estuary Shoreline Protection","Estuarine Shoreline","Protection","Land Acquisition","13.8"
"2018","Region 10","Puget Sound Partnership","Upper Ohop Valley Protection","Riparian","Reestablishment","Planting","8.1"
"2018","Region 10","Puget Sound Partnership","Coulter Creek Acquisition Phase 2","Forest/Woodland","Protection","Land Acquisition","58.25"
"2018","Region 10","Puget Sound Partnership","Waypoint Park Shoreline Restoration","Beach","Rehabilitation","Beach Nourishment","1"
"2018","Region 10","Puget Sound Partnership","Enumclaw Foothills Property Acquisition","Forest/Woodland","Protection","Land Acquisition","155"
"2018","Region 10","Puget Sound Partnership","North Fork Issaquah Creek and Tributaries - Culvert Replacements","In-Stream","Reestablishment","Culvert Modification (including installation and replacement)","-"
"2018","Region 10","Puget Sound Partnership","Green Creek Culvert Replacement","In-Stream","Reestablishment","Culvert Modification (including installation and replacement)","-"
"2018","Region 10","Puget Sound Partnership","Port Gamble Sewage Plant Outfall Decommissioning","Estuarine Water Column","Enhancement","Contaminant Removal/Remediation","90"
"2018","Region 10","Puget Sound Partnership","Tributaries to Edgecomb Creek - Stream Rerouting","In-Stream","Reestablishment","Stream Flow Modification (including stream pool construction)","-"
"2018","Region 10","Puget Sound Partnership","Puyallup River Left Bank Acquisition","Riparian","Protection","Land Acquisition","20.14"
"2018","Region 10","Puget Sound Partnership","Elger Bay Estuary Preserve","Tidal Wetland","Protection","Land Acquisition","38"
"2018","Region 10","Puget Sound Partnership","Kelly's Point Feeder Bluff Protection","Estuarine Shoreline","Protection","Land Acquisition","27"
"2018","Region 10","Puget Sound Partnership","Whidbey Island Forest Conservation Easement","Forest/Woodland","Protection","Easements","140"
"2018","Region 10","Puget Sound Partnership","Dosewallips Estuary Barge Removal Acquisition","Estuarine Shoreline","Protection","Land Acquisition","1.21"
"2018","Region 10","Puget Sound Partnership","Bird Island Shoreline Enhancement Project","Lake/Pond","Enhancement","Debris Removal","1"
"2018","Region 10","Puget Sound Partnership","West Bainbridge Shoreline Restoration","Estuarine Shoreline","Rehabilitation","Invasives Control/Removal - Vegetation","7"
"2018","Region 10","Puget Sound Partnership","Skokomish Estuary Restoration Phase 3C","Tidal Wetland","Reestablishment","Culvert Removal","369"
"2018","Region 10","Puget Sound Partnership","Great Dane Creek Culvert Replacement","In-Stream","Reestablishment","Culvert Modification (including installation and replacement)","-"
"2018","Region 10","Puget Sound Partnership","Little Pilchuck Creek Culvert Replacement","In-Stream","Reestablishment","Culvert Modification (including installation and replacement)","-"
"2018","Region 10","Puget Sound Partnership","Church Creek Culvert Replacement","In-Stream","Reestablishment","Culvert Modification (including installation and replacement)","-"
"2018","Region 10","Puget Sound Partnership","Tributary to Mindy Creek Culvert Replacement","In-Stream","Reestablishment","Culvert Modification (including installation and replacement)","-"
"2018","Region 10","Puget Sound Partnership","Sammamish River Side Channel Restoration - Phase 3","Freshwater Marsh","Reestablishment","Fish Barrier Removal","3.5"
"2018","Region 10","Puget Sound Partnership","West Dabob Bay Protection","Riparian","Protection","Land Acquisition","9"
"2018","Region 10","Puget Sound Partnership","Mill Creek Side Channel (Leber 2014)","In-Stream","Reestablishment","Fill Removal","8"
"2018","Region 10","Puget Sound Partnership","South Prairie Creek Riparian Restoration 2013","Riparian","Rehabilitation","Invasives Control/Removal - Vegetation","127"
"2018","Region 10","Puget Sound Partnership","Crockett Lake Riparian 2012 - Acquisition","Riparian","Protection","Land Acquisition","244.84"
"2018","Region 10","Puget Sound Partnership","Quilcene Acquisitions 2012","Riparian","Protection","Land Acquisition","2.85"
"2018","Region 10","Puget Sound Partnership","Woodard Bay Natural Resources Conservation Area 2012","Estuarine Shoreline","Protection","Land Acquisition","19.9"
"2018","Region 10","Puget Sound Partnership","Kennedy Creek Natural Area Preserve 2012","Riparian","Protection","Land Acquisition","10.05"
"2018","Region 10","Puget Sound Partnership","Nordstrom Creek Culvert Replacement","In-Stream","Reestablishment","Culvert Modification (including installation and replacement)","-"
"2018","Region 10","Puget Sound Partnership","Fisher Creek Culvert Replacement","In-Stream","Reestablishment","Culvert Modification (including installation and replacement)","-"
"2018","Region 10","Puget Sound Partnership","Matriotti Creek Culvert Replacement","In-Stream","Reestablishment","Culvert Modification (including installation and replacement)","-"
"2018","Region 10","Puget Sound Partnership","Nisqually River Knotweed Removal 4","Riparian","Rehabilitation","Invasives Control/Removal - Vegetation","540"
"2018","Region 10","Puget Sound Partnership","Dungeness River Riparian Restoration","Riparian","Rehabilitation","Invasives Control/Removal - Vegetation","93.2"
"2018","Region 10","Puget Sound Partnership","Upper Dungeness Large Wood Restoration","In-Stream","Reestablishment","Large Woody Debris/Structure Placement","14.9"
"2018","Region 10","Puget Sound Partnership","Middle Skagit Watershed Habitat Protection","Riparian","Protection","Land Acquisition","79.26"
"2018","Region 10","Puget Sound Partnership","Skagit Riparian Restoration and Stewardship","Riparian","Rehabilitation","Invasives Control/Removal - Vegetation","84"
"2018","Region 10","Puget Sound Partnership","Crockett Lake Riparian 2012 - Restoration","Riparian","Rehabilitation","Invasives Control/Removal - Vegetation","100"
"2018","Region 10","Puget Sound Partnership","Clallam County Fish Passage (EQIP)","In-Stream","Enhancement","Fish Barrier Removal","0"
"2018","Region 10","Puget Sound Partnership","Whatcom County Riparian Forest Buffer (EQIP)","Riparian","Reestablishment","Vegetation Buffer","4"
"2018","Region 10","Puget Sound Partnership","Pierce County Riparian Forest Buffer (EQIP)","Riparian","Reestablishment","Vegetation Buffer","1.4"
"2018","Region 10","Puget Sound Partnership","King County Riparian Forest Buffer 2 (EQIP)","Riparian","Reestablishment","Vegetation Buffer",".7"
"2018","Region 10","Puget Sound Partnership","Snow Creek Watershed Acquisition","Riparian","Protection","Land Acquisition","83.47"
"2018","Region 10","Puget Sound Partnership","King County Riparian Forest Buffer (EQIP)","Riparian","Reestablishment","Vegetation Buffer","1"
"2018","Region 10","Puget Sound Partnership","Skagit Delta Farmland Protection","Agriculture/Ranch Land","Protection","Easements","1022"
"2018","Region 10","Puget Sound Partnership","Clallam Riparian Forest Buffer (EQIP)","Riparian","Reestablishment","Vegetation Buffer","3.9"
"2018","Region 10","Puget Sound Partnership","Northwest Straits Foundation Marine Debris Removal","Estuarine Water Column","Rehabilitation","Debris Removal",".7"
"2018","Region 10","Puget Sound Partnership","Lower McLane Large Woody Debris","In-Stream","Reestablishment","Large Woody Debris/Structure Placement",".2"
"2018","Region 10","Puget Sound Partnership","Beards Cove Restoration","Estuarine Shoreline","Rehabilitation","Fill Removal","7.2"
"2018","Region 10","Puget Sound Partnership","Salmon Recovery Funding Board Conservation Property Stewardship","Riparian","Rehabilitation","Invasives Control/Removal - Vegetation","-"
"2018","Region 10","Puget Sound Partnership","Illabot Creek Riparian Restoration","Riparian","Reestablishment","Planting","7.7"
"2018","Region 10","Puget Sound Partnership","Smuggler's Slough Fish Passage Restoration","In-Stream","Reestablishment","Culvert Removal","-"
"2018","Region 10","Puget Sound Partnership","Stillaguamish Riparian Crew 3","Riparian","Rehabilitation","Invasives Control/Removal - Vegetation","119.7"
"2018","Region 10","Puget Sound Partnership","Oakland Bay Estuary Conservation Phase 3","Estuarine Shoreline","Reestablishment","Berm/Dike Removal","47"
"2018","Region 10","Puget Sound Partnership","Quilcene Restoration 2012","Riparian","Reestablishment","Invasives Control/Removal - Vegetation",".7"
"2018","Region 10","Puget Sound Partnership","Dabob Bay Natural Area Riparian 2012","Estuarine Shoreline","Protection","Land Acquisition","31.29"
"2018","Region 10","Puget Sound Partnership","Fudge Point Acquisition","Estuarine Shoreline","Protection","Land Acquisition","140.7"
"2018","Region 10","Puget Sound Partnership","Secret Harbor Estuary and Salt Marsh Restoration","Tidal Wetland","Reestablishment","Berm/Dike Removal","45.4"
"2018","Region 10","Puget Sound Partnership","Skokomish River Floodplain Acquisition","Riparian","Protection","Land Acquisition","112.04"
"2018","Region 10","Puget Sound Partnership","Lake Sammamish Beach Renovation","Lake/Pond","Reestablishment","Large Woody Debris/Structure Placement","2.7"
"2018","Region 10","Puget Sound Partnership","Fennel Creek Restoration","Riparian","Reestablishment","Planting","4"
"2018","Region 10","Puget Sound Partnership","Johns Creek Large Woody Debris and Riparian Restoration","Riparian","Reestablishment","Planting","19.7"
"2018","Region 10","Puget Sound Partnership","Goldsborough and Mill Knotweed Assessment","Riparian","Rehabilitation","Invasives Control/Removal - Vegetation","24"
"2018","Region 10","Puget Sound Partnership","Hood Canal Summer Chum Riparian Restoration","Riparian","Reestablishment","Planting","36"
"2018","Region 10","Puget Sound Partnership","Snow Creek Watershed Restoration","Riparian","Reestablishment","Invasives Control/Removal - Vegetation","6.3"
"2018","Region 10","Puget Sound Partnership","Lower Ohop Restoration Phase 3","Riparian","Reestablishment","Planting","20"
"2018","Region 10","Puget Sound Partnership","Short Family Farm Easement","Agriculture/Ranch Land","Protection","Easements","253.4"
"2018","Region 10","Puget Sound Partnership","Tolt River Conservation 2013","Riparian","Protection","Land Acquisition",".67"
"2018","Region 10","Puget Sound Partnership","West Bainbridge Shoreline Protection","Estuarine Shoreline","Protection","Land Acquisition","12.49"
"2018","Region 10","Puget Sound Partnership","Divide Block Kitsap Forest and Bay-Grovers Creek","Riparian","Protection","Land Acquisition","82.5"
"2018","Region 10","Puget Sound Partnership","Snow Creek Uncas Preserve Acquisition","Riparian","Reestablishment","Planting","10"
"2018","Region 10","Puget Sound Partnership","Skokomish River Floodplain Restoration","Riparian","Reestablishment","Planting","5"
"2018","Region 10","Puget Sound Partnership","Tributary to South Creek Barrier Removal","In-Stream","Reestablishment","Culvert Removal","-"
"2018","Region 10","Puget Sound Partnership","Grassland Restoration in South Puget Sound","Grassland","Rehabilitation","Invasives Control/Removal - Vegetation","17"
"2018","Region 10","Puget Sound Partnership","Glendale Shoreline Access and Restoration","Estuarine Shoreline","Protection","Land Acquisition","2.3"
"2018","Region 10","Puget Sound Partnership","Springbrook Park Restoration","Riparian","Rehabilitation","Planting",".15"
"2018","Region 10","Puget Sound Partnership","Oakland Bay Restoration - Riparian Stewardship","Riparian","Rehabilitation","Invasives Control/Removal - Vegetation","7.8"
"2018","Region 10","Puget Sound Partnership","Pan Handle Lake-Goldsborough Tributary Culvert Removal","In-Stream","Reestablishment","Culvert Removal","-"
"2017","Region 10","Puget Sound Partnership","Joe Creek Culvert Replacement","In-Stream","Enhancement","Culvert Modification (including installation and replacement)","-"
"2017","Region 10","Puget Sound Partnership","Lacamas Creek Pipe Replacement","In-Stream","Reestablishment","Culvert Modification (including installation and replacement)","-"
"2017","Region 10","Puget Sound Partnership","Grovers Creek Culvert Replacement","In-Stream","Reestablishment","Culvert Modification (including installation and replacement)","-"
"2017","Region 10","Puget Sound Partnership","Gamble Creek Pipe Replacement","In-Stream","Reestablishment","Culvert Modification (including installation and replacement)","-"
"2017","Region 10","Puget Sound Partnership","Dogfish Creek Culvert Replacement","In-Stream","Reestablishment","Culvert Modification (including installation and replacement)","-"
"2017","Region 10","Puget Sound Partnership","Jovita Creek Culvert Replacement","In-Stream","Reestablishment","Culvert Modification (including installation and replacement)","-"
"2017","Region 10","Puget Sound Partnership","Northwest Straits Foundation Marine Debris Removal","Estuarine Water Column","Rehabilitation","Debris Removal","2.7"
"2017","Region 10","Puget Sound Partnership","Glendale Shoreline Access and Restoration","Estuarine Shoreline","Rehabilitation","Bulkhead Removal","1.9"
"2017","Region 10","Puget Sound Partnership","Like’s Creek Fish Passage Project II","In-Stream","Reestablishment","Culvert Removal","64"
"2017","Region 10","Puget Sound Partnership","Unnamed Tributary to Milwaukee Canal - Culvert Removal","In-Stream","Reestablishment","Culvert Removal","-"
"2017","Region 10","Puget Sound Partnership","Little Skookum Creek Culvert Replacement","In-Stream","Reestablishment","Culvert Modification (including installation and replacement)","-"
"2017","Region 10","Puget Sound Partnership","Fakkema Farm Protection","Forest/Woodland","Protection","Land Acquisition","100"
"2017","Region 10","Puget Sound Partnership","Woodard Bay Natural Resources Conservation Area Wetland and Shoreline Restoration","Estuarine Shoreline","Rehabilitation","Invasives Control/Removal - Vegetation","37"
"2017","Region 10","Puget Sound Partnership","Milwaukee Dock Eelgrass Restoration","SAV (Submerged Aquatic Vegetation)","Reestablishment","Planting","1.6"
"2017","Region 10","Puget Sound Partnership","Belmondo Reach Restoration Phase I","Riparian","Reestablishment","Planting","12.65"
"2017","Region 10","Puget Sound Partnership","Illahee Forest Preserve","Riparian","Protection","Land Acquisition","25.47"
"2017","Region 10","Puget Sound Partnership","Frog Holler Forest","Forest/Woodland","Enhancement","Land Acquisition","60"
"2017","Region 10","Puget Sound Partnership","Guemes Island - Anderson Property","Estuarine Shoreline","Protection","Easements","36"
"2017","Region 10","Puget Sound Partnership","Whitehorse Trail Acquisition","Forest/Woodland","Protection","Land Acquisition","33"
"2017","Region 10","Puget Sound Partnership","Lyre Estuary and Nelson Creek Protection","Estuarine Shoreline","Protection","Land Acquisition","279.9"
"2017","Region 10","Puget Sound Partnership","Lummi Island Shoreline Acquisition","Estuarine Shoreline","Protection","Land Acquisition","105"
"2017","Region 10","Puget Sound Partnership","Harper Estuary Restoration","Tidal Wetland","Rehabilitation","Fill Removal","3"
"2017","Region 10","Puget Sound Partnership","Pierce County - EQIP Riparian Buffer","Riparian","Enhancement","Vegetation Buffer","26.1"
"2017","Region 10","Puget Sound Partnership","King County - EQIP Riparian Buffer","Riparian","Enhancement","Vegetation Buffer","2.3"
"2017","Region 10","Puget Sound Partnership","Island County - EQIP Planting","Agriculture/Ranch Land","Enhancement","Planting","4"
"2017","Region 10","Puget Sound Partnership","High Creek Pipe Replacement","In-Stream","Reestablishment","Culvert Modification (including installation and replacement)","-"
"2017","Region 10","Puget Sound Partnership","Unnamed Tributary to Drayton Harbor - Pipe Replacement","In-Stream","Reestablishment","Culvert Modification (including installation and replacement)","-"
"2017","Region 10","Puget Sound Partnership","Anderson Creek Culvert Replacement","In-Stream","Reestablishment","Culvert Modification (including installation and replacement)","-"
"2017","Region 10","Puget Sound Partnership","Titicaed Creek Acquisition","Forest/Woodland","Protection","Land Acquisition","156"
"2017","Region 10","Puget Sound Partnership","Blethen Lake Acquisition","Forest/Woodland","Protection","Land Acquisition","220"
"2017","Region 10","Puget Sound Partnership","Port Gamble Bay Acquisition","Forest/Woodland","Protection","Land Acquisition","11"
"2017","Region 10","Puget Sound Partnership","Maury Island Former Gravel Dock Removal","Estuarine Shoreline","Rehabilitation","Debris Removal","1"
"2017","Region 10","Puget Sound Partnership","Whatcom County - EQIP Stream Improvement","In-Stream","Enhancement","Large Woody Debris/Structure Placement",".9"
"2017","Region 10","Puget Sound Partnership","Skagit County - EQIP Riparian Buffer II","Riparian","Enhancement","Vegetation Buffer","5.5"
"2017","Region 10","Puget Sound Partnership","King County - EQIP Riparian Buffer II","Riparian","Enhancement","Vegetation Buffer","6.2"
"2017","Region 10","Puget Sound Partnership","Thurston County - EQIP Planting","Agriculture/Ranch Land","Enhancement","Planting","46.4"
"2017","Region 10","Puget Sound Partnership","King County - EQIP Planting","Forest/Woodland","Enhancement","Planting","18.6"
"2017","Region 10","Puget Sound Partnership","Skagit Forks Off-Channel Restoration","In-Stream","Reestablishment","Stream Channel Rehabilitation","128"
"2017","Region 10","Puget Sound Partnership","West Beach Creek Restoration Phase 2","In-Stream","Reestablishment","Culvert Removal","64"
"2017","Region 10","Puget Sound Partnership","Skagit County - EQIP Riparian Buffer","Riparian","Enhancement","Vegetation Buffer","1.5"
"2017","Region 10","Puget Sound Partnership","Beld - Goodwin Creek Culvert Removal","In-Stream","Enhancement","Culvert Modification (including installation and replacement)","0"
"2017","Region 10","Puget Sound Partnership","Kitsap County - EQIP Planting","Agriculture/Ranch Land","Enhancement","Planting","1"
"2017","Region 10","Puget Sound Partnership","Waterman Nearshore Acquisition","Estuarine Shoreline","Protection","Land Acquisition","58.94"
"2017","Region 10","Puget Sound Partnership","Linden - Kitsap Creek Culvert Replacement","In-Stream","Enhancement","Culvert Modification (including installation and replacement)","0"
"2017","Region 10","Puget Sound Partnership","Skokomish Car Removal and Riparian Restoration","Riparian","Reestablishment","Planting","39.9"
"2017","Region 10","Puget Sound Partnership","Woodard Bay Natural Resources Conservation Area Public Access and Education","Estuarine Shoreline","Protection","Land Acquisition","8"
"2017","Region 10","Puget Sound Partnership","South Fork - Acme Reach Acquisition","Riparian","Protection","Land Acquisition","55.08"
"2017","Region 10","Puget Sound Partnership","Woodard Bay Natural Resources Conservation Area - Weyer Point Restoration","Estuarine Shoreline","Rehabilitation","Invasives Control/Removal - Vegetation","85"
"2017","Region 10","Puget Sound Partnership","Belmondo Reach Acquisition Phase I","Riparian","Protection","Land Acquisition","12.65"
"2017","Region 10","Puget Sound Partnership","Hobbit Corners Floodplain Restoration","Riparian","Reestablishment","Planting","30"
"2017","Region 10","Puget Sound Partnership","South Creek Culvert Replacement","In-Stream","Reestablishment","Culvert Modification (including installation and replacement)","-"
"2017","Region 10","Puget Sound Partnership","Secret Creek Pipe Replacement","In-Stream","Reestablishment","Culvert Modification (including installation and replacement)","-"
"2017","Region 10","Puget Sound Partnership","Middle Nisqually Riparian Enhancement","Riparian","Enhancement","Planting","25"
"2017","Region 10","Puget Sound Partnership","Upper Skiyou Slough Floodplain Restoration","Riparian","Reestablishment","Planting","36.5"
"2017","Region 10","Puget Sound Partnership","Stillaguamish Floodplain Protection & Restoration","Riparian","Protection","Land Acquisition","90.87"
"2017","Region 10","Puget Sound Partnership","Jim Creek Restoration Phase II","In-Stream","Reestablishment","Large Woody Debris/Structure Placement",".01"
"2017","Region 10","Puget Sound Partnership","West Sound Pocket Beach Restoration","Beach","Rehabilitation","Contaminant Removal/Remediation","5"
"2017","Region 10","Puget Sound Partnership","Hansen Creek Restoration Acquisition","Riparian","Protection","Land Acquisition","19.72"
"2017","Region 10","Puget Sound Partnership","Jacobs Point Phase II","Estuarine Shoreline","Protection","Land Acquisition","17.61"
"2017","Region 10","Puget Sound Partnership","Upper Skagit Watershed Habitat Protection","Riparian","Protection","Land Acquisition","35.15"
"2017","Region 10","Puget Sound Partnership","South & Middle Forks Reach Acquisition Phase II","Riparian","Protection","Land Acquisition","101.35"
"2017","Region 10","Puget Sound Partnership","Dungeness River Floodplain Restoration-Robinson Phase","Riparian","Protection","Land Acquisition","1"
"2017","Region 10","Puget Sound Partnership","SnoCo Beach Nourishment Construction","Beach","Reestablishment","Beach Nourishment","2.4"
"2017","Region 10","Puget Sound Partnership","Middle Skagit Watershed Habitat Protection","Riparian","Protection","Land Acquisition","3.78"
"2017","Region 10","Puget Sound Partnership","Crockett Lake Riparian 2012","Riparian","Protection","Land Acquisition","84.04"
"2017","Region 10","Puget Sound Partnership","Quilcene Acquisitions 2012","Riparian","Protection","Land Acquisition","2"
"2017","Region 10","Puget Sound Partnership","Cascade Creek Acquisition","Riparian","Protection","Land Acquisition","23.95"
"2017","Region 10","Puget Sound Partnership","North Fork Farmhouse Phase 1 Restoration","In-Stream","Reestablishment","Large Woody Debris/Structure Placement","51.3"
"2017","Region 10","Puget Sound Partnership","Edgewater Beach Nearshore Project","Estuarine Shoreline","Reestablishment","Bulkhead Removal",".1"
"2017","Region 10","Puget Sound Partnership","Cornet Bay Nearshore Restoration Areas 1 and 3","Estuarine Shoreline","Reestablishment","Beach Nourishment",".7"
"2017","Region 10","Puget Sound Partnership","West Oakland Bay Conservation","Estuarine Shoreline","Protection","Land Acquisition","14"
"2017","Region 10","Puget Sound Partnership","Tolt River Conservation 2013","Riparian","Protection","Land Acquisition","3.95"
"2017","Region 10","Puget Sound Partnership","Bowman Bay Armoring Removal","Estuarine Shoreline","Reestablishment","Bulkhead Removal",".6"
"2017","Region 10","Puget Sound Partnership","Goldsborough Habitat Acquisition Phase 3","Forested Wetland","Protection","Land Acquisition","39.75"
"2017","Region 10","Puget Sound Partnership","Davis Slough Fish Passage and Flow Restoration","Riparian","Rehabilitation","Invasives Control/Removal - Vegetation","25"
"2017","Region 10","Puget Sound Partnership","Barnum Point Phase 1 - East Tract Acquisition","Estuarine Shoreline","Protection","Land Acquisition","37"
"2017","Region 10","Puget Sound Partnership","North Fork (Xwqélém) Farmhouse Phase 2a Restoration","In-Stream","Reestablishment","Large Woody Debris/Structure Placement","1.3"
"2017","Region 10","Puget Sound Partnership","North Fork Stillaguamish Engineered Log Jam Project III","In-Stream","Reestablishment","Large Woody Debris/Structure Placement","1.3"
"2017","Region 10","Puget Sound Partnership","Brown Island Historic Feeder Bluff Restoration","Estuarine Shoreline","Reestablishment","Bulkhead Removal",".3"
"2017","Region 10","Puget Sound Partnership","Fort Townsend State Park Shoreline Restoration","Estuarine Shoreline","Reestablishment","Fill Removal",".21"
"2017","Region 10","Puget Sound Partnership","Mashel Shoreline Protection and Restoration-3","Riparian","Reestablishment","Planting","4.8"
"2017","Region 10","Puget Sound Partnership","Little Anderson Creek Stream Restoration","Riparian","Reestablishment","Planting","3"
"2017","Region 10","Puget Sound Partnership","South Fork (Nuxw7íyem) Hutchinson Phase 2a Restoration","In-Stream","Reestablishment","Large Woody Debris/Structure Placement","8.5"
"2017","Region 10","Puget Sound Partnership","Larson Reach Phase 2 In-Stream Restoration","In-Stream","Reestablishment","Stream Channel Rehabilitation","35.6"
"2017","Region 10","Puget Sound Partnership","Upper Carlson Floodplain Reconnection 2013","Riparian","Reestablishment","Planting","10.7"
"2017","Region 10","Puget Sound Partnership","Duwamish Gardens Restoration","In-Stream","Reestablishment","Fill Removal","1.97"
"2017","Region 10","Puget Sound Partnership","Ediz Hook Beach Restoration: Phase 3","Beach","Reestablishment","Beach Nourishment","4"
"2017","Region 10","Puget Sound Partnership","Lower Middle Fork Reach Acquisition","Riparian","Protection","Land Acquisition","7.21"
"2017","Region 10","Puget Sound Partnership","Skagit Watershed Habitat Acquisition","Riparian","Protection","Land Acquisition","40"
"2017","Region 10","Puget Sound Partnership","Dosewallips and Duckabush Restoration 2012","Riparian","Reestablishment","Invasives Control/Removal - Vegetation","15"
"2017","Region 10","Puget Sound Partnership","Stillaguamish Floodplain Acquisitions","Riparian","Protection","Land Acquisition","58.54"
"2017","Region 10","Puget Sound Partnership","Chimacum Creek Lower Mainstem Protection","Riparian","Protection","Land Acquisition",".45"
"2017","Region 10","Puget Sound Partnership","Whitewater Reach Protection","Riparian","Protection","Land Acquisition","19.9"
"2016","Region 10","Puget Sound Partnership","EQIP Planting - Whatcom County II","Agriculture/Ranch Land","Enhancement","Planting","10"
"2016","Region 10","Puget Sound Partnership","Lake Creek Bridge Construction","In-Stream","Reestablishment","Fish Barrier Removal","0"
"2016","Region 10","Puget Sound Partnership","Shermer-Deschutes Floodplain Acquisition","Riparian","Protection","Land Acquisition","22"
"2016","Region 10","Puget Sound Partnership","Beach Lake Acquisition and Restoration","Estuarine Shoreline","Protection","Land Acquisition","26"
"2016","Region 10","Puget Sound Partnership","Glendale Shoreline Access and Restoration","Estuarine Shoreline","Protection","Easements","3.7"
"2016","Region 10","Puget Sound Partnership","Stillaguamish Floodplain Protection & Restoration","Riparian","Protection","Land Acquisition","44"
"2016","Region 10","Puget Sound Partnership","Duckabush Riparian Habitat Acquisition","Riparian","Protection","Land Acquisition","140.5"
"2016","Region 10","Puget Sound Partnership","Upper Skagit Watershed Habitat Protection","Riparian","Protection","Land Acquisition","27.5"
"2016","Region 10","Puget Sound Partnership","EQIP Planting - Snohomish County","Forest/Woodland","Enhancement","Planting","11"
"2016","Region 10","Puget Sound Partnership","EQIP Upland Enhancements - Thurston County","Agriculture/Ranch Land","Enhancement","Rehabilitation/Creation","121.6"
"2016","Region 10","Puget Sound Partnership","Crockett Lake Riparian 2012","Riparian","Protection","Land Acquisition","8.2"
"2016","Region 10","Puget Sound Partnership","Quilcene Acquisitions 2012","Riparian","Protection","Land Acquisition",".13"
"2016","Region 10","Puget Sound Partnership","Dabob Bay Natural Area Riparian 2012","Estuarine Shoreline","Protection","Land Acquisition","250.12"
"2016","Region 10","Puget Sound Partnership","Bear Creek Reach 6 Restoration","Riparian","Reestablishment","Planting",".3"
"2016","Region 10","Puget Sound Partnership","Hoko River 9000 Road Barrier Correction","In-Stream","Reestablishment","Large Woody Debris/Structure Placement",".4"
"2016","Region 10","Puget Sound Partnership","Riparian Assessment and Restoration in Kennedy-Goldsborough Watershed","Riparian","Reestablishment","Planting","21.8"
"2016","Region 10","Puget Sound Partnership","Nisqually Knotweed Eradication 2011","Riparian","Reestablishment","Invasives Control/Removal - Vegetation","338"
